Unnamed: 0,x_test,future
17.0,"[137 177 137 177 129 137 177 137 177 137 177 137 177  49 137 177 137 177
 137 177 137 177  88 137 177 137 177 137 177 137 131 178]",[  5   5 116 116   5   5  22   5]
18.0,"[  7 180  26  85  63  26 180   7  85  26   7  26 180  63  26   7  85  26
   7  26 180  63  26   7  85  26   7  26 180  63  26   7]",[ 26   7 180  26 166  36  26 180]
19.0,"[148   6 148   6 148   6  53 156   6  53 156   6  53 162  27 162  27 162
  27  97  52  27  97  52  27  97  85 148  85 148  85 148]",[178   2 178   2 178 178 135 178]
20.0,"[176  37  37  88 162  69  88 162  88  69 166 157  45 146 157 157  88 152
 146  88  88   8 103   8   8   5 150  67 116  45 146 116]",[ 99 137  64  99  51   8 150   8]
21.0,"[ 13  71 152 136  35  94  83 127  97 180  94  35 136  45  71  13  71 152
 136  35  94 131  35 136 180  45  94  35  97 177 179  94]",[150 105  46 180 156  63 127  85]
22.0,"[ 80 180 153  53  63  12 142  75 142 136 142  75  66  75  82 168 159 166
 111   7  26 111  36 157 111  29  66  29  50   5  66   5]",[ 29 157  29  29 129  29   8   5]
23.0,"[ 14 137  17 163  14 137  82 134  14 137  82 134  14 137 123 138  14 137
 179  61  82 177 179  61  82 177  54  45  82 177  97 170]",[177  97 170 179 177  35  60 179]
24.0,"[ 71   5 128 123 160  49  73  71  22 129 129 129 129 110  66 129 100 129
  66  51 110  37  49  87  37   5  29  93   5  37  49  49]",[ 49  66  24  49 158  49  24 116]
25.0,"[160  28  28  15 132 126  68  93  87  87  17  46 165 114  87  64  41  41
 122  39  70 106  83  64 122  93  87  32  41  86  95  28]",[ 93  87  15 132 126  68  93  87]
26.0,"[144  17 144  17  91  17 144  80   6 144  17  91  17 144  80   6 144  17
  91  17 144  80 116 144 136  91 136 144 136 144 136  91]",[144  91 151 144 136 144 151  50]
27.0,"[155 155  52  37 155 166 105 105 179 159 159  80  82  22  82  72   9  35
  66  66  10  66 158  19  64  64  64  64  41 122  14 103]",[ 14 103  13 136 128  13  14 103]
28.0,"[ 97  53  80 144 162  97  53  97  53  97  53  97  53 153 152  53  97 153
 144 166 180 179 159  80  35  78   9  50 136 144  54 123]",[123  54 136  73  54 136  14 144]
29.0,"[131 140 128 152 108 138 131 108 128 138 131 140 128 152 108 128 152 128
 152  13 152  13 152  13 123  13 123  13 123 136  13 123]",[123 136  17 123 144  13  73  78]
30.0,"[151 144 151 144  17 144 151 163  91 103  71  13  50  71  13  80 151  17
  71  35  78  17  71  91   6 151 144  17 144 151 144 151]",[ 17 144 151 144 151 144  17 144]
31.0,"[165  17  54 117  54  60 144  65 134 165 174  73  65 150 151 174  73  91
 179 134 165   9  60 144 107  45  71 159 110 128 160  73]",[123  80 128 123 177  10 134 128]
32.0,"[ 83 123  63  18  83 123  26  53  97 153 166 180  17  83 166  46 144 180
 159 123 180  80  17  83 180  35 123 180   9 144 180  97]",[ 53 127  81  18  63 101  13  18]
33.0,"[144 166 155 165 166 155 144 166 155  73 153 155 165 153 144 155 123 153
  54 155 144 166 155 123 166 144 155 165 166  73  68  78]",[ 68  78 166  68  78 166  68 151]
34.0,"[ 85 180  94  94 180  94  91  42  23 101 101  23  23  23  62  57 141   6
 115  45 130 115 127 127  84 115 127  85  85 127  85 179]",[ 84  85 179  94  94 179  94  91]
35.0,"[136  13  14 144  79  79 174  60  79 174  60 103 174  60  79 174  60 103
 174  60 174  60 103  35 159  35 159 180  46 159  80  35]",[ 50 136  17 123 144  13  73  13]
36.0,"[142  75  66  75  82 168 159 166 111   7  26 111  36 157 111  29  66  29
  50   5  66   5  66  29 157  29  29 129  29   8   5 178]",[178  29   0  29   0 129  29   8]
37.0,"[116  99 128  55  99  99   0  60   0   0  51 140   1 129 131  55 129  99
  29 163 164  29   8   0 140   1   0   8 116 174  89  26]",[115 116 131 152  13 116 123 116]
38.0,"[ 91 123 117  91  82  91 123 117  91  82  91 123 174  91  94   9  71 174
   9  82  91  54 134  91  82  14  17 134  14  82 117  91]",[ 91 179 151  82  54  82  46 165]
39.0,"[ 94 152  82  35 160  91  14  13 136  14 103  17  14  13  35  14 103  17
  14 165  82 136  45  71 136 165  82 136  45  71 136  13]",[ 35 160  17  35  13  46  91 134]
40.0,"[180  94  91  42  23 101 101  23  23  23  62  57 141   6 115  45 130 115
 127 127  84 115 127  85  85 127  85 179 179  84  85 179]",[ 94 179  94  91  42  23 115  45]
41.0,"[128 152  83 152  89  75 126  83 136 152 126 152 150 126 152  42  42 152
 177 158 152  42  93  42  93  70 116 100 154  70  55 180]",[ 55 131 152 126  97 152  53  60]
42.0,"[ 70  83  70  83 100 116 176  83 100 116 100 116 176  83 100 116   3  49
   3 180 176 180 116 100 166  83  17  91 159  92  55 157]",[ 55 157  42  29  97  97  46   5]
43.0,"[144  78 117  60  16 177  60 117  37  60 117  78  10  78  50 123 165  78
 128  10 134 177 138 158 177 134 128  26 158  36  36 115]",[ 98  26 158  36  36  26 111 102]
44.0,"[136  35 105  13  71 136  35 137  13  71 136  35  13  71  14  35 159  13
  71  14 179  35 105  13  71  14  82 137 165 123  14  82]",[123  14  35 159  13  71  14 179]
45.0,"[ 82 160  17  46  14  35 105  54 160  94  14  51  87  51  87  51  87  51
  87  28  87  51  87  27  87  51  87  15 132  15 132  15]",[ 15 132  15 132  32 132  32  93]
46.0,"[ 55 180  55  70  55 159  55  83  55  35  55 126  55  35 108 126  39  82
  39 126  39 126  39 126  39 126  82  39 126  39  35  39]",[ 39  91  39 126  39  14 108 122]
47.0,"[ 73 174 144  60  73 174 175 134 137  47 137 134  47 134  47 134 137  47
 137 134  47 134  47 144  60 165 134  73 174 165 134 144]",[ 73 174 144  60  73 174 144  60]
48.0,"[166  78   7 177  82  19  66 177  82 123 166  78  82 123 166  78   7 177
  82  19  66 177  66 177  82  19  66 177  82 134   2 137]",[137  82 134   2 137  82 134   2]
49.0,"[ 14 160  94  46 174  14  73 179  45  54 156  91  94  54 105 137  14  31
   9  94  14 105 137  14  91 159  14 105  73  24  95  85]",[ 44 101 153 160  24  95  85  45]
50.0,"[ 18 102 119  87 102  18 102  18   7  46  87 105   7  18  87   7 105   7
 105  46  82  87  46 105   7  87 105  46 105  46  82 105]",[46 82 46 87 82 14 82 87]
51.0,"[105  92 166 166 166  46 166  53  97  97  53  53 153 180  55  26  26  53
  53  97  97  85  85 166 166 166 105 180 180 180  46 164]",[ 18  26  26  53  53  97  97 104]
52.0,"[144  17   3 117  13   3  71  54   3  50  71   3  54  50  99 113 178  30
 133  77  77 160 138  14 128 149 174  14 128 151 131  91]",[126 128  91 152  73 174   9 160]
53.0,"[128 152  13 116  45 117  13 116 128 152  13   5 103 160  13 103 160 144
 116  45 151  71  45 151  71  46 160  13  17 160 151 144]",[152 151  71 152  73  80  17  35]
54.0,"[ 15  37  69 121  15  37  99  69 121  15  37  99  69 121  15  93  99 126
  43  70 129 126  43  70 178 129  99 126  43  70 129 126]",[ 70 129  29  51 145 122  76  51]
55.0,"[ 63  45 130  63 127 127 146  63 127  85  85 127  85 180 180 146  85 180
  94  94 180  94  91  42  23 101 101  23  23  23  62  57]",[  6 115  45 130 115 127 127  84]
56.0,"[102  63  17 102 130  54 102  14 130  54 102  14 127  35  97  94 127  35
  97  94 130  17 102  14 130  17 102  14  18  82   7  46]",[ 82   7  46 115  14  91 127  35]
57.0,"[105 105  73 165  73 160 128 159  73  14 153  14 166 105 159   9 159 123
 105 153 110 174 107 134  45 142 128  77 174 142 128   9]",[ 82 107  94 159  59   9  77 159]
58.0,"[ 35 180 123  35 179  71  35  46 165  17  82  46 160 134 160 165  35  54
  35 105 160 134 160  71  82  17  82  46  46 165 105  17]",[14 18 82 18 82 46  7 91]
59.0,"[ 35  57  83 179 166 180  35  57  83  35 103  13  85 166 165 180 144 103
  46  43 165  80  50 144 103 180  46  78 159  50  17 103]",[ 35  71  14  35 128 144   9 159]
60.0,"[ 61 176  61 163  56  61  45 146 146  71 127  61 146  61 163  56  61  45
  57 146  71 127  61  56  61 163  64  61  45 146  57 127]",[ 94  61  61 163  57 127  61  45]
61.0,"[ 87 113  87  77 124  77 124  77 124  77 124  77 124  77 124  77 124  77
 124 142 149 142 149 142 149 142 149 142 149 142 149 142]",[142 149 142 149 142 149 142 149]
62.0,"[ 93 110  27 148 151 148  14 151  14  93 110  23  15  93  15  93 110  27
 148 151 148  14 151  14 148  23 148  23 132  45 132 136]",[136 132 101 132 101  41 160  41]
63.0,"[123 117  91  82  91 123 174  91  94   9  71 174   9  82  91  54 134  91
  82  14  17 134  14  82 117  91  54  91 179 151  82  54]",[ 46 165 117  82  14  82 105  73]
64.0,"[ 29 180   7  94  26   5 105  97 159 178  47  61 138 178 161 137 178 150
 131 178 134  45 128 117 178 160 151 178  13 165 178 144]",[157  54  14   0 144  17  54  14]
65.0,"[ 45  91  69  94 179  91 179  61 106  45  46 163 106 103  94 161 106 117
  46 163  17  92  50  35  17  82 154 150  35 108 154 131]",[ 47 154 134  35 108  13  55 123]
66.0,"[ 94  73  82 151  94  73 159 165  94  13 159 165 179  71 159 165 179  71
 105 123  50  54  80 144 179  78 166 117  53  60 115 177]",[161  33 170 181 113 113  56  56]
67.0,"[150  97  71 166 151  97  71  18 151   7  71  18 151   7  71  53 150   7
 144  53 151 166 144  85 151 166 144  85 151 159 144  46]",[159 144  46 151  82 144  80 151]
68.0,"[ 70 103 100 162 163 100 162 138 110  50 128 166 138 153  97 177  53  26
 159  26 128 159 123  26 128 159 123 100 128 162 123 110]",[ 71 100 110  45  71 123  26 128]
69.0,"[136 131  91  35 136  91  82 123 108 131  91  80 123 131  50  35 123 136
  91  50 163 131  35  46 166 131  46  35  50  35  46  35]",[131  46 166  97 131 166  46  35]
70.0,"[ 20 108  48 114 108 131  55  55  13  35 108 108  48  55 108 131  13  35
 142 138 128 123  14 138 149 161 137 181 177   7  10  78]",[161 113 137 177  30  48 174  24]
71.0,"[ 78 128 152  60  78 131 152 174 103 177 128 140  60 177 131 140 128 163
 131 138 128 170 152 108 138 131 108 128 138 131 140 128]",[108 138 131 108 128 138 131 140]
72.0,"[ 78  19  60 152  52 117  19 177 152  78  19 177 152  78  19 177 152  78
  52 177 117  66 128  50   8  60 117  78  75 152  73  37]",[ 78  80  60 117 144   4 100 144]
73.0,"[ 13 123 136  13 123  13 123 136  17 123 144  13  73  78 152 103 128  60
 131 174 131  60 128 103 152 123  78  17  73 136  13  14]",[ 79  79 174  60  79 174  60 103]
74.0,"[179  80 179  53  54 166  80 166   7  50 144 166 159  91 166  26  50 166
 159 136 166 166  54 144 179  80 179  85   4 180  80 180]",[165  78 180 159 180 166 123 180]
75.0,"[152   0 128   0 117   1   1  68  19 155 170 177  60 170 177  60  26 166
 170 177  53  60 155 170 177 155  60  75 170 177 166  60]",[170 177  66  60  80 180 170 177]
76.0,"[146  45  94  71   7 136 153  14  85  91 105   9 146  45  94  71   7 136
 153  14  85  91 105   9 146  45  94  71  61 127  45 153]",[105   9 153  14 105   9 153  14]
77.0,"[152 151 152 180 150 152  71 152  35 150 103  78 103  80 150 103  94  13
 103  80 150 144  46 151 144  53 151 144  85 151 144  46]",[144  80 151 144  85 151 144 179]
78.0,"[ 53  16 153 153 117  52 166  52 172 128   7  53 127  26  18 115  36 177
  10 102  63  10 115  60 102  16  36 119  33  36  16 115]",[137  98 175  33  90  33 175  18]
79.0,"[  8 145   8 164  51 164  51 164   8 164   8 164  51 164  51 164  29 164
  29 145   8 164   8 146 116 127  63 130 102  63  18 127]",[ 97  85 105 180  46  94  46  80]
80.0,"[152  80 180  50 157  80  46 136 131  35 159  50  13  35  46  91  35 180
  50 103  13  35  46  35  50  17  50  17  13  78 122  13]",[ 50  17  13  78  13  17  78 122]
81.0,"[116  51  51 150  67  67 144  80 161   8   8 140  62 146  88 137 129  51
  29 177 164 164  51 129  10  10  10 129 134  10  29 113]",[ 10 133 129  10 129  60  20 118]
82.0,"[142 109 129  99  99  29 142 129 159 159 159 142 159 159 159 159 120  46
  46 159 159 159 159 159 159  10 166 166 159 159 159 159]",[159 120 179 179 159 159  53  53]
83.0,"[164 164 164 164  80  19 181 138 138  35 138 177 177  67 150  67  67  67
  67  67  67 106 106  67 106  67 106  67 106 106  67 106]",[106  67 106 106  67 106  67 106]
84.0,"[ 69 161  22 138  73   9 142  95 138 148 138 161  71  35  61  14  45  71
  94  41  61  61  57 163  57  61  45  71  94  57  61  61]",[28 61 45 71 94 68 91 61]
85.0,"[153 166 166 180 179  66 179  21 159  46 155 155  16 155  37  52  69  99
 107   0 126 180  15   9 166 180 126  80 123  82  66  19]",[132  21  50  82  19 136 155   8]
86.0,"[177  49 137 177 137 177 137 177 137 177  88 137 177 137 177 137 177 137
 131 178 178   5   5 116 116   5   5  22   5  95  49  87]",[124  88  19 178  95  99  19 178]
87.0,"[106 106 106 106 106 106 106 106 106 106 162 181  52  60 117  78  52  60
 117  78  66  60 128  78  52  60 117  78  19  60 152  78]",[160  60  78  78  78  78  78 129]
88.0,"[ 97 142 153 166 103 153 145  53 153 103  53 105  60 153 166 100  50 111
   9  35 162  80 159 123 159 138 123 128 159 138 123 128]",[138 162 128 110 162 138 100 110]
89.0,"[ 60 105 136  61 180  45 156 152 180 136 180  45 156 152 180  82   7  57
 128   7  82 134   7  57 138   7   7 152 123 129 132 123]",[123 129 132 123 116 103  17  51]
90.0,"[ 50 163 131  35  46 166 131  46  35  50  35  46  35 177 131  46 166  97
 131 166  46  35  46 166 179 138 131 166  97 180 131  85]",[180  85   7 159 108 131  85  53]
91.0,"[ 91  35  82  91  94  35 159  82  94 159 179 159  82 179  94 105 159 166
 179 153 105   7 166 153 105 166 179 105 159 179  94 159]",[ 94   9  82  50  94 159  94 123]
92.0,"[159 179 159  82 179  94 105 159 166 179 153 105   7 166 153 105 166 179
 105 159 179  94 159  82  94   9  82  50  94 159  94 123]",[  9  50 165  14 136  14  13 151]
93.0,"[ 80  46 166 180  83  46  80  46 136 103  35 159 180  46 145 159  82 159
 136 152   9  80  46 159 126  80  35  35 152 159  35 159]",[135 159  94 179 159  70 180 159]
94.0,"[136  35  94  13 136  35  91 136  91  94  60  50  54  80 144  50  54 179
  35  50 180 152 144  85 166 180  46  94  80  35  50  91]",[ 80  35  91 103  50 136  17  71]
95.0,"[165  15 165  32  13  56  71  54  91  32  14  54  71 169  17 114 165 114
  73  17  91 114  14  17  73 112 151 165  54  69  78 165]",[ 93 160 165  17  34  14  54  71]
96.0,"[100  80  82 128 123  50 165  80   9 128 123  14 144 159  50  66 123  50
  82 159  50  46  50 179  60  54  50  78 179 179  54  50]",[179 159 117  50  35 144  80  80]
97.0,"[ 33  37  62  33 173 130  36  63  81  63  62 127  53  97  85 166 180  81
 180  62  94  80  35  91  50 136  81 136  62  71 144  13]",[ 78 152  81 136  62 136  81 136]
98.0,"[ 80 159  46 180 166 153  55 131  60 128 103 152  78  18  73  26  53  36
  75  63  75  18  26  83  53  97 153 123 166 180  46   4]",[ 80 166  75 180  46  55 131  60]
99.0,"[179  86 179  71 179  71 179  37 166  71 105 179  71 166 179  37 179  71
 179  71 115  37 115  71 115  71 179  69  50  46  69  50]",[ 69  50 115 155  50  18 155  50]
100.0,"[103 134  82 136   7 134 134 103 125 131  35  97  50  91  35 131 174 131
  92 163 103  46 163  92 138 163 170  60 136  80 170 170]",[ 47 134 136  82  47  47  61 125]
101.0,"[ 85 105 165 179  46 179  95  46  95  94  85  41 105  41 179  46  47 137
 105   7  18 134 127   7 127  86   7  86  97 115  86  18]",[127   7  17  14  97  85 105 165]
102.0,"[ 35  78   9  50 136 144  54 123 144 123  54 136  73  54 136  14 144 136
  14  50  14  50  91 117  50  91   9 144  91   9  35   9]",[  9 152  80  35   9 144  35  80]
103.0,"[  5 177 137 177 137 177 137 177  29 137 177 137 177 137 177 137 177  49
 137 177 137 177 137 177 137 177   5 137 177 137 177 137]",[137 177 129 137 177 137 177 137]
104.0,"[ 28  74  74  12  12  15 132  15 132 127  15   7 115 132   7  97  15 127
   7 132  85 179  15 105 132 179 105  15 179  85 132 105]",[110  46  94  11  82  94 135  46]
105.0,"[ 71  88 103  71 150 144  46   8 103 144 151 144  85   8 103 144 138 128
 178 152 128  99  13 128 157 165 128  29 163 103  51  78]",[ 88  13 103  99  71 103 157 150]
106.0,"[  5  83   5  83   5 121 177  97 150 121 174  97 131 121 134  97  60 121
  45  97 128 121 103  97 117 121 152  97 160 121   5   5]",[  5   5   5   1 116   1 116   1]
107.0,"[160  14 137 105 160  14 137 105 160  14 137 105 160  14 137 105 160  14
 137 105 160  14 137 105 160  14 137 105 160  17 163  46]",[ 17 163  46 103  17 163  46 103]
108.0,"[105 117  85  97  86  85 160  97   7 160 127  18  93  18 165  18 165  93
 165 165  46  93  46 165  46 165  46  93 105 144 179  46]",[105 179  86 179  71 179  71 115]
109.0,"[ 60 128 129  73 109 131 128  78  13 131 128  78  29  13  99 131 128  78
  99  13  29 131 128  78  29  13  51 131 103  78  51  13]",[131 103  78  99  13 129 131 152]
110.0,"[136 101 152  73 144 136 152  73 144 136  17 136  71 136 101 152  13   4
  71 136  83 152  13  71 116  13  71  81 136 176 152  13]",[ 71 136 101 152  13  71 136 152]
111.0,"[  7  46 119 165   7  82  86 160 151  95  13 165  41 144  71   5 144  71
  86 160 151  95  13 165  41 144  71   5 144  71  86 137]",[ 95 131 134  41  60  45   5  60]
112.0,"[153   9 166  50 180 136 179  54  46  17  80 144   9  73  14 160  17 103
  14 160  50  78  54 117  50  78  54 117 144  60  54 117]",[177   9 174  82 134  80  60 159]
113.0,"[ 19 178 155   0 155   0 155   0 155   0 141 129 141 129 141 129  66  29
  66  29  66  19  66  19  66  19  66 126 132  38 132  38]",[158 100 132 100 132  75 158  15]
114.0,"[ 25 112  25 112  25 112  25 112 155 155 155  65 155  65 155  65 155 126
 126 126 126 126 126  65 117  65 117  65 117 118 117 118]",[118 117  65 117 174 117 117 117]
115.0,"[ 51 110  87  11  51  51  93  66  49 112  37  49  66  49 124  88  37 167
 124  88  88  37 110 129 149  22 129 110 129 129 178  87]",[ 22 178 178  87 112  29 158  38]
116.0,"[ 73 109  13  19  78  19  78 149 160 142 128 142 128  70  78 109 128 109
 128  72  73 129 128 129 128  13 129 128 129 128 129  13]",[157  42 157  42 157  42 157   6]
117.0,"[178 158  29 158  29 128   0 111   5 111  29 177  10  78 116  21  51 145
 129  19 129 157  67   8  67  62   8  67 129  29 164   8]",[  8 164  88 161   8  49 133  29]
118.0,"[ 17  91 151  71  17  91 180 151  71  17  91 151 144  17  91 151 144  45
 136  91 103 151  71 117 136  91 150 151  71  54  91 151]",[ 54  91 151  71  17  91 151  71]
119.0,"[ 95  41  95 178 178  56  56  87  93  56  56  95 101   5 137   5 137 176
  95  99  95 106  95  99  95  22  22 176 143 143   5   5]",[  5 176  95  99  95 106  95  99]
120.0,"[154   4 154   4 154   4 126   4  46  80   9 136   9  80  46 180 153  88
 129  83   9  73  35  13 136 152 123 128  13 131  39 131]",[ 60  39  45  39 128 105 103 166]
121.0,"[106 106 106 106 106 106 106 106 106 106 162  10 181  52  60 117  78  52
 117  60  78  66  60 128  78  52  60 117  78  19 152  60]",[ 37 160  60  78  78  78  78  78]
122.0,"[151  27  71 170 136 152 151  17 136 152  73 154 152  73  99 101 176 152
  13  42  71 136 101 152  13  71 136 152  13  71 136  17]",[101  71 136   4 152  13  83  71]
123.0,"[153  73 166  78 180 152 179 117  46 103  80  60   9 174  14 137  17 163
  14 137   9 174  14 137   9 174  14 137  17 163  14 137]",[131  14 137  35 131  14 137  17]
124.0,"[ 37  73 123  14   9 138  82  73 128  80  66 165 110 144  50 177 123  78
 165  54 144 136 123  49  60  54  49  52  49  54   8 117]",[  8  40  50  53 128 136  72   7]
125.0,"[ 18 127  53  97  85 166 180  46  94  80  35  91  35  50  91 151  80 144
  46  17  94  71  80 144  35  13  91 151  50  78 136 152]",[103  71  45 144  60  13 131 151]
126.0,"[ 73  78 158  78 158  78   9 153 160 105  73 149  22 100  22  80  50 123
  78  82 179 144 159 165  19  66  22  66  38  60 134 155]",[ 60 120 128 113 128 165  50 177]
127.0,"[ 49 129   5   5 176   5  41 129 129 178 178   5 176   5  41 129 129 178
 178   8   8   0   0   8   8   0   0   8   8   0   0   8]",[ 0  0 71 61 94 45 71 61]
128.0,"[142  26 166 142  26 153 142  26 159  10  26   7 111 159 159  78  26   7
  10 159 159  10  26   7  10 159 159  10  26 166 158  36]",[ 10  36 115 142 166 166  78  36]
129.0,"[ 22 174 128  53  22 128  26 177 128  97  19 128  40 147 116  53  70  83
  83  70  83  70  83  70 126  83 126  83 126  83 109  29]",[ 29  89   0 116  55  83 162 122]
130.0,"[105   9  85  91 153  14  85 136 153  14   7  91 153  14   7  91 127   9
 123  50  82 159 165 166  78   7 128  26 134  36 177 119]",[ 90  47  31  31 146 146  31  31]
131.0,"[166 127  82 113 159 105   7  35  56  94 105  97 165 134  71  45 123 128
  54 117  14 160  91 151  35  13  82 165  94  71 159 123]",[ 54 105  14 166  50 153   9   7]
132.0,"[118  25 118  25 118  25 118  43  54 117 132  24  24  14 160   9  73  91
 151  14 160  80 144  82 165   9  73  82 165  85  54 105]",[179  91   7 165 153  17  85  54]
133.0,"[148  42 148  42 132 112  11  87 178 132  15  88  12 178 118 157 178 118
 112 118 112  54 117  54 117  69 124  69 124  69 124  69]",[ 69 124  69 124 110  38 124  69]
134.0,"[100   0 160 100   0 103 100   0 160 100   0 117  29 155   8  78 155   8
 117 155 178  78 155 178 152   0 126 116  73 126  49  78]",[129  78  68   8  60 155 179 117]
135.0,"[ 94 123  82   9  50 165  14 136  14  73  91 151   9 160  82 152 103  45
  71 165  17 136  14  73  91 151   9 160  82 152 103  45]",[165  17 136  14  73  91 151   9]
136.0,"[103  46 163 163 138  92 163 103  17  46 163 122 140 177   6 159 150  80
 151  53 140 164 177 150  89 108 131  55  13  97 108  67]",[138  92 163 131  92 103  46 103]
137.0,"[159  91 180 159 136  82  14  46  82  46 160 105  46  14  54  94  14  94
  71 179  94  14  17  82  14  82 160  46  82  14  71  35]",[ 13  35  71  94  35 160  46  82]
138.0,"[144  14  91  14 144 180  61 136  91  94  91 136  91 136  91  46   9 136
  46 137  35  71  94  35  71  35  14  71  14  17  13 136]",[152 151  71 151 152 151 152 151]
139.0,"[159 123  76 145 159 123  46 159 110  76 123 159 110  46 159 162 159 123
 159 162 159 100 159 111 159 168 159  65  76   1 159 120]",[159  78  76 109 159  78  46 159]
140.0,"[128 155  22  30 128  82 159  19 179 159 128 155  22  30 128  82 159  19
 179 159 128 141 149  66 177  19  66 177  19 179 158 177]",[159  19 179 159 177  66  19 141]
141.0,"[124 174  78  73 149 174 152  73 158 150 152 151  10  21  78  78  78  78
  78  52  37  66  19  37 177  60  78  66 177 128  78  52]",[117  78  10 177 152  78  50 158]
142.0,"[180  82 128  85  35 103 105  14 131  46  17 134  82  71  45  35  14  13
  94  71  45  82 136 165  94  82  45 136  71 151  82  35]",[ 71  14 103  91 152  35 160  14]
143.0,"[165  56 137  45 160  45  13  82 134  94 159  94 159 179 105  14  91  35
  82  91  94  35 159  82  94 159 179 105  14  91  35  82]",[ 94  35 159  82  94 159 179 159]
144.0,"[145 145  42 157  67   6  27  27 145 145 145 145  42 157  67   6  53 103
  80   6 151  80  85 151  91  69  71  91 105 150   9  42]",[  9  27 157  91  69 156  91 153]
145.0,"[114 163 103  56 137 137 137 137 137 137 161 161  64 163 163  34  61  61
 114  47 134 134 134  28  47 134 134 134  47 134 134 134]",[ 47 134 134 134  28 134 134  47]
146.0,"[ 35  94  83 127  97 180  94  35 136  45  71  13  71 152 136  35  94 131
  35 136 180  45  94  35  97 177 179  94 148 150 105  46]",[156  63 127  85 180  94  91 140]
147.0,"[153  14 105   9 153  14 105   9 153  14 105   9 110  73   9 165 110  73
 160   9 128 110  73   9  14 110  14   9 110   9 110 123]",[  9  82   9  14 123   9 105 105]
148.0,"[117  60  78  66  60 128  78  52  60 117  78  19 152  60  78  37 160  60
  78  78  78  78  78  19  60 152  52 117  19 152 177  78]",[152 177  78  19 152 177  78  52]
149.0,"[179  55  83 159 180 179 149 126 179 129 180 109  29  59   0  37  99 126
   0  77   0  59 149 180 179  55  83 180 179 149 126  46]",[154  35 103 166  83 152 122  78]
150.0,"[ 91  61 151  71  54  71 151  71 151  71  54  71 151 123 161 128 151 165
 151 128 151 128 151 165 151 128  17 163 103 151 144 151]",[151 103 151 144 151 103  17 163]
151.0,"[159   9 159 179 151 117 159  82 159 179 165 159  91 159 179 174  80   9
  80 179  60  80  50  80 179 117  82  50  82 159  78  82]",[ 82 159 177  35  50  35 159 131]
