,x_val,future
34,"[ 70  46  90 140 108  48  17 145  86  85   9  25 175 148  48 144  68   3
 137  12 140  93 137  12 140  93 126   6 127  95 126   6]",[ 95  69  42  79 167  69  42  79]
35,"[ 93 105 127 119  25  11  93 105 119  25 141  93 105 119  25   6  93 105
 119  29  11 129  80 119  29 127 129  80  86  29  84 129]",[ 86  29 113 129  80  86  29  84]
36,"[129 114  29 141 129 114  29 141 104 104  52  52 104 104   4   4 104 104
  52  52   4   4 104 104  21 104 104 149  34   7 113 149]",[  7 113 129 114  29 141 129 114]
37,"[141  37  86  29 141  86  37 129  37  86  66  32 141  86  29 119 141  73
  29 119  73  48  80 114 141  73   3  80 141  86  29  80]",[ 73  86   1 141  29 140 173 141]
38,"[148 148 148 148 148 148  31   9   4 145   4   9   9   9   9   9   9  18
   4  71 108  46  68  68  68  31  31  46  46  46 148 148]",[  9 108 145   4 148 104  46 145]
39,"[ 38  11  95 140  11  38  11  95   7   7  38 127  11  95   7  11 133  25
  95  22  11  81  25  22  11  81   3  22  29  81  25  86]",[25 26  3 25 89  3 70 84]
40,"[127 127 127 173  95 173 173 105  97  97  97  51  17  51  17  51 135 160
 173  51 111  20 173 175  20 180 178  11 175 101 180  11]",[ 97 117 136  20  80 136 180 180]
41,"[171  27 156   0  23  27 110 108  64   0  23 110  43 136  42 144 144 136
 144  22  85  35   6  43  95 107  51  43  85 166  84  43]",[171 156   0  27 127  11   8  13]
42,"[124  13  30  10 124  13 155  30 155 155  41 102  41 102  10 124  13  30
  10 155 124 155 155 119 124 119 124  86  30 119 124  62]",[ 30 119 124 119 124 124  18 164]
43,"[ 86 158   9  70  73  29  73  29  48 117  86  76  20 117 158  70  76 117
  65 117  65 180 117   9  86  48  86 158   9  70  73  29]",[ 29  48 117  76  86  20 117 158]
44,"[145 145 159 159 159 159 159 159 159 157  35  38 159 159 159 159 159 159
 159  79 173  38 159 159 159 159  14  92  35  38 159 159]",[159  25  86  38  58 158 132  97]
45,"[ 97  97 179  95   3   3  17  95   3   3  13  45 173 173 175  45 173 173
  27  13  86  66  86   3 127 173  66  86  25 166 124  27]",[ 50 151 152  69 121 174 127 175]
46,"[ 29  70  25  70  84  25  70  25  86 146  48  11  48  22  11  48  11  29
  62   7  48  11  48  22  11  48  11  48  85 155   3 127]",[  6 127   3 127 127 145 173   3]
47,"[ 11 141 173 158  11 155 139  11 109 155 173   3  84 140 173  29  11 173
  29  64   3 173  73 122   3 155  86  71   3 140 119 141]",[ 11  86 129  29 140  73  29 155]
48,"[ 76  17 131 136  76 136  76  17  15  21 167  21  66 167  66  76  17 131
 136  76 136  76  17  15  21 167  21  66 167  66 131  70]",[ 78 167 169 129  78 165  55  78]
49,"[167  70  66  73  29  48  80   7 149  11 165   7 129  11 165 127 149  11
 165 127 149  90  80  86  66   3 105 127  95 173   8  97]",[ 20   6  35 138  36 109 161  96]
50,"[ 89 140  73 113 119  73  55 140  29 141  70  29 113 140  29 167  70  29
 141   7  25  42  70  25 167   3 122  90  89   3  90  22]",[155 113  79 155  88 139  48 149]
51,"[117 137 101 111 142   2 130 177  21 178  40 163  10  10 142 158  15  92
 101 178  78 131  77 169 169 137   2 137   7  28  48  73]",[ 70 150  78 165 178 117  37  65]
52,"[ 80 129 145   1  95 105 145  37  68 105  95 108  64 122  93 108  37  68
  93 122  52 141 122 129  80 129 122  18 132  52  29  29]",[  3  29  29  29  29  25 119  80]
53,"[ 18 132  52  29  29  25   3  29  29  29  29  25 119  80   3  29  29  70
  80  29  29  25  26   3  29  25  10   3  29  25  26   3]",[140  26  26 129  25  26   3  29]
54,"[ 46  46   4  46 145  46 108  68  71   4 104   9  31 104  31   9   4  46
 145  52 104 145  52 145 104  52 145 145  52   4 108  68]",[108   4  68 108   4   4 108  71]
55,"[ 37   7 149  48 165  29 129   7 149  48 165  29 129  73  88  70 167  73
  88  70 167  73  88  70 167  66   8  37  89 149 113 165]",[ 37  70  29  48   7 140 127  90]
56,"[ 95  16  88 171  93  49  76  49  32  49  22  49  22  49  22  49  22  22
  49  49  22  81  22  81   6  81  22  81  22  81  22  49]",[ 16  22 171 143  49 107  49  32]
57,"[ 95  95  95  95  95  95  95 141 141 141 141 141 141 141 141 141 141 141
  73  76 141 125 125 125 125 125  83 125 125  33  34  91]",[91 91 91 91 91 91 65 63]
58,"[129 149 119 109 122  88 105  88 122  88 122  57  88 109 105  34  88 109
 122  57  66 109   8  95 105  95   8  86 105  66   3  68]",[ 86   7  52 149  66  86  66 149]
59,"[129 149 119 154  73 135 176  73 154  63  63 119  73  71  88 149 119  73
 176  73  99  73 176  73  83  73 178  88 105  21  37  73]",[ 88 105  37  73  88 105  37  73]
60,"[143  17  45 133  45 170  45 170  51 170  51 136  51  70  51  25  11  78
  90  79  51 180  82  51 137  51 137 137 181  91 181  73]",[ 48 127 136 139 117  80  20  18]
61,"[137  31  39 104 178  46  39 104 137  31 119  98  18 144 119  18 137  39
  73 137  39 137 122  98 164 122  52  52  86  56  86  56]",[ 86 119  86 119  56  19 132  53]
62,"[ 65 117  65 117 139 127  91 127  54 140  85   7 140 127 140 156 127  90
 140  48  91 127  54  90  41  79  90  79  65 156 117  65]",[117  91 117  54 170  79 117  65]
63,"[169 139  88  15 176  79 167 162 169 139 113  73  76   7 127  73 127  34
  40 113 140   1  40  89   7 138  40   8 140   1  37  56]",[ 29  37  48  30 125  29 114  30]
64,"[ 29 101 155  89 158 180  26 111 101 180 117  26 180 155 122  79  97 124
 101 180  97 158 124  79 173 122  90 155  30  93 140  11]",[ 29 129 129 105 129 129  93  30]
65,"[ 89  37 140  21 118   1  89  37 140 118  29  54  62  54   1  89  37  59
  54  54  78   1  89  37 140  78  54  21   1  89  37 140]",[137  52 132 141 132 129 158 153]
66,"[127  27 173  97  20 173 133 158  20  35  90  96 117 180   2 127 173  65
  20  11  96  90 117 180   7 123  90 158  65  46  55 104]",[104 148   9   4   4  71  52  46]
67,"[ 48  11 174 175  11 175  99  11  85  11 175  11  80  86  48  11 107  80
  86 144  48  11 174 175  11 175  99  11  85  11 175  11]",[ 86  48  11  80  86  48  11 175]
68,"[102 179   3 102 132 129  11  62  37   3  62  37  31 174 173 148  90 174
 148  81 136 102 132  10 134  89  41  11 122   3 116  10]",[ 10 133 123  66  98 167  98 119]
69,"[168  70  25 149   7  34 149  91  66  73 149  37   3 125  66  70  73  88
  25  73  70  66  37   7  34 149  33  66  73 149   7  42]",[168  70  25 149   7  34 149  91]
70,"[153 119  80  80 119 129  29 122  11  22 164 132  10 102 179  13 151   3
 102 179   3 102 132 129  62  11  37   3  62  37  31 174]",[148  90 174 148  81 136 102 132]
71,"[127 117  66 127  48  80 127 127 149  93   7  25   7 155 174  11  25  11
 127  88   8  11  48  11 127 165  11  73  11 127  93   7]",[  7 155  22  11  25  11 127  88]
72,"[122  58 179 124  10 119 122 124 122 125 124 122  83  83 122   6 107 122
  83 178  83 178 153  18 144  30 153 132 155 122 132 141]",[124 158 122  97  84 122  30  79]
73,"[114  29 141 129 114  29 141 129 114  29 141 129 114  29 141 129 114  29
 141 129 114  29 141 129 114  29 141 104 104  52  52 104]",[  4   4 104 104  52  52   4   4]
74,"[ 76  53  76  26  76  31  76  92  76  53  76  26  76  31  76  92  76  53
  76  26  76  31 104  76 151  91  17  76 151  91  17 104]",[151  91  17 104  76 151  91  17]
75,"[111 111  54  20  20  13  13 111 111  13  13  20  20 175  49 180 180  85
  16 180 180   3 164 140 140   3 164  11  11  85 164 140]",[ 85 164  11  11  10  10 140 140]
76,"[122  86  95  25  93  29 129   3 105   7 149 140  37 155 119 173  86  79
  25 158  29  97   3  65   7 101 140 111 155   2  90  20]",[101 140  65   7 117  48 158  29]
77,"[175  49  27  84   8  27  13  27   6  45  45 122  45  27 175  49  27  84
  84 109  84 109  84 109  84 109  22  32   8 138   9 138]",[138   9 138   9 138   4  42 145]
78,"[107 145 107  68  84  26 124  83  31  31   1  56  56  31  18  31  31 125
  19  19 105   3 138  68  68  64  67 147 104  42 148  31]",[  6 134 134  31 148  49  49  49]
79,"[123  34   1 142  34 113 147 135  65 149   7  34  34   1 135  65  34 113
 149   7 117  21   1  89  37 140   1 142  64  42  72 125]",[ 73  78  88  73 161  70  29 140]
80,"[ 55  49  22  49  95  49 107  45  49  27  81  27  95  27  49  27  49 160
  49  87 128 115  49  49  49  81  49  81 105  81  27  81]",[ 81  27  49  27  16  28 171  69]
81,"[178 178 178  48 178  48 178  48 178  48 178  48 178  48  30 144  30 144
  30 144  30 164  30 164  30 164 124  10 124  10 124  10]",[ 10 124  10 124  10 176  10  11]
82,"[102 166 166  68  27 143  46 108 102  18  16   9  13 148  68  27  27  27
  27  68   9 145  84   8  95   8 145  84   8  95   8  71]",[ 22   8  22 108  12  22   8  22]
83,"[  1 129  37  86 141  37 129  95 129  37 129   6 141  37  86  29 141  86
  37 129  37  86  66  32 141  86  29 119 141  73  29 119]",[ 48  80 114 141  73   3  80 141]
84,"[108 105 119  25 119 105 119 105 119  25 119 105   3   6 105  66  29  66
 105  11  66  29   3  29  66  79  64  25   3 155   3  25]",[ 25   3 173   7  25 173 141  11]
85,"[ 25  11  90 180  70  25 180  11  90 180  70  25 101  11  90  70  25  89
  11 173  86  29  11 173  86  29 117  11 173  86  65  29]",[ 11 173  86  29  89 140 173  86]
86,"[ 26  12  17 110  17  22  17  24 151  24  24   0 179  17  51  51  48  51
  11 173  78 117 180  51  35  97  51  17  51  17  76  17]",[ 26 124  17  17 143  17  45 133]
87,"[ 53  62  53  86  53  29  19  53  62  53  62 153  66 135 153 135 153  62
  53 135  26  53  62  53  86  53  29 146  53  62  53  86]",[ 29  19  53  62  53  62 153  66]
88,"[ 97 179 119  97 179  80 180 179  66 180 119 179  86 180  25 179 119  97
 179  86  97 119 179  66  97  80 151 105  97 151 105  97]",[105  97 151 149  20 151   7  20]
89,"[ 78   7  48  29 178  73  70 178  66  76  73  70  66  42  37 149 165  57
  37 165  37  48  37 165  55  37  55 165  37  55  48  55]",[ 37  55  48  37  48  93 140  48]
90,"[ 48  29  84  73  70  22 119  70  89  37  70 167  29  70 122  37  70  89
  48 119 113 149 119 122  48 119 129 149 119 113  29  29]",[ 37  29  89 140  73 113 119  73]
91,"[125  89 165 125  89 165  31  55  89  88  54  62  89  95 129  89  95 129
  54  55  89  88  54  62  89  95 129   8   7 129  48  88]",[ 95  48  88   7  53 140 125  89]
92,"[122 129  83  80 119 124 122 129  80 119 122 129  80 119  37 119 124 141
  80 119  26 122 129 144  80 119 153 141 122 129  80 119]",[119  37  86 105  25 153  80  29]
93,"[  3  25 155 119   3  25 155 119  11  29   3 119 155  79 158  86 155  29
 158 127  29 158 119 155   3   3 155  79 173  37   3  25]",[  7  25 173  80  11  29  29  11]
94,"[113  84 113  12 125  12   5  42   5  42 125   5  12  55  85 113   8 137
  89  22  89  55 141  55  59 125  59 125 141  59  55 113]",[ 89 167  33   8  89   8 113  84]
95,"[ 89 140   1   1  32  56   1  89  37 140   1  53  64   6 154  11 125   3
  88  97  64 134   6 125  58 114 141 132 129 158 114  19]",[ 32  56   1 141  56  89 140  89]
96,"[ 11 136  25 153 129  80 155 153  37 155 153  80 155  62  89 105 158  62
  95 158  62  93 158 105 153 122 129 155 153  93 155 153]",[155  41 105 122 155  41 155  41]
97,"[ 66 105  66  49  22  80 165  80  27  22  66 105  66  49  22  80 165  80
  81  22  80 105  80  81 171   2 180  79  90  79 180 173]",[180 117 173  11  48  86  49  48]
98,"[ 83  58 144 164  90 122 101  90 101   2 178  79 122   2  79   2 157 178
  97 122 157  97 157  36 178 101 122  36 101  36 178   2]",[  2 178  90 167 101  90 101   2]
99,"[ 42  84  89 167 116 167 105 116  37  70 133   6 113   8  95 133  95 149
 133  66  86 125  22 122  88  88  80 119  73  82  12  89]",[ 93  82  93  37  82  70  25 141]
100,"[175 173   2 174 120 157   2  22 180  79  22  90 116  42  84  89 167 116
 167 105 116  37  70 133   6 113   8  95 133  95 149 133]",[ 86 125  22 122  88  88  80 119]
101,"[ 46 122 105 148  93 105  68 119 105  93 105 122 105 148  93 105   9 119
 105  18  93 105   4  84 105 108 129 105 145  66 105 129]",[ 84 105   9 129 105 148  66 105]
102,"[ 86 173  51 127  86   7  95  11  86 155 166  48  86   9  71 148 108  68
  68   9  68 108  18 145 145  46 145  46   0  68   9   9]",[  9 148 108  68  68   9  68   9]
103,"[136 150 136 150 136 150  45 175  45 175  45 175 143  13 140   3  86  37
   3  89 140  84 173   6  97   1 101 109 146 146 146 154]",[127   7  73  66 181 162 181 162]
104,"[127  90 139 158 117  65 101  20   2  20 101  65 117 158 139  90 127 140
   7  48  29  48 165  37  89   7 149  70 167  70 167 140]",[ 48 165  48 165 139  73 155 119]
105,"[ 35 177  35 101 101  35 101 158 158 101 158 173 173 158 173 140 140 173
 140  29 158  29 101 158 173 173  86 158 173 140 140  37]",[140  29  29 129 140  29  86  86]
106,"[ 88  70 178  85  60  91 178  91 178  85  77 146  88 146  70  88  70 146
  60 146  60  54 113  54 119 113 119  54 176  54 176  21]",[ 21  66 167  66  76  17 131 136]
107,"[  3 129   3  11 129   3  29   3   3 129 132  11 129 132 155 153 129 132
 155 153 129 132 179  89  26 136  26  26  26  89  26 122]",[ 30  25  58  29   3 122  58  25]
108,"[  3  25   3  37 155  80 129 158 155  11  11 119 155  11  29  11 180 122
 141 111 180 158 158 129 180 158 155 158  93 101  95  89]",[101 158 158  37 101 158 173 158]
109,"[101   2 178  90 167 101  90 101   2 178  76  39  76  39  78 137 127 167
  65 127  65  20  76 127 167  65 127  65  20  76 127 167]",[127  65  20  76  78 137  78 137]
110,"[ 26  53 146 154 146 154 146 154  61 165  61 165  61 165 149  24  37  54
  66  54  66  54  66  71  66  71  66  71  66  21  76 151]",[ 78 150 150  78 150  78  99 154]
111,"[119 122 105  84  93  12 122  64  93  12 122  64  93  12 122  64  93  12
 122  64 119 122  86  95 119 122  80  22 165  55  95   6]",[ 89  86  95  37  89 129 141  95]
112,"[ 52 143 143  52 143 143 143 143  38   6  12   6  12  38 141  84  38 141
  84  38  22   8  22   8  38 122  95  38 122  95 108 164]",[108 102 102 102 102 164  64   6]
113,"[140 173 158 141 173 140  29 140 173 127  32 141 173 158 155 141 139 158
 155 139 117  11 114 141 139  97  11 141 173 158  11 155]",[ 11 109 155 173   3  84 140 173]
114,"[150  61 150  61 150  61 162  54  85  91 150  91 126  91 126  91 126  66
   8  66   8  76  69  76  69  76  69  76  69  76  69  76]",[85 23 69 76 69 76 69 76]
115,"[ 80  22 105 165  22 105  80  11  55   3  48  25  22  86  22  70  66  22
  80  22 105 165  22 105  80 165 105  80 165  95 105  93]",[165 165  55 105  84  80  22 165]
116,"[154  59  59 158 131 123 123 158 131 123 123 123 123 123 158  26 117 154
  78  78 139  88  37  78  78 117  78 149  78 139 165  78]",[117  54  78  78 117  88 165 154]
117,"[165  80 104 167  66 129  66   4  22 165 167 165   9   8 165  95 148 165
 148 167  80 165  80 104 167  66 129  66 117 104 155  90]",[ 48  48 148 119  70 165  97  31]
118,"[121 145  62  13  62 127  43  62  43 170  43  12  43  29 174 179  43 179
 108 159 108 127 124 174   8  22  84  22  84 153 171 153]",[174 148 153 148 174 143 174 143]
119,"[ 11 109   6   3  84  51 109   6  51  84 119  25 109   6  86  84 175 109
   6 175  84 119  25 109   6  86  84 175 109   6 175  84]",[ 25 109   6  86  84 175 109   6]
120,"[  7 138  11  64 155  32 127  34 155  32 139  57 114 172 114 114 172 114
 114 172 114 142   1  32   1  42  64   1 142 125  42 142]",[142 141 125 142  42 140 142  89]
121,"[ 80 119 129  80 122 129  80 119 122 129  80 119 122 129  80 119 122 129
  80 119 122 129  80 119 122 129  80 119 122 129  52 176]",[122 129  83 149 119 176 122 129]
122,"[ 11  29  29  11  29 119  29 140  89 173 140  29  29  56 140  29  86  29
 155  64  79 155   3   3  58 155   3  25   3 155 141 158]",[ 11  11 132 155  11  29  11 180]
123,"[ 70  86 105 140   4  73  25  37 127 145  29  48  66  90  52   3   7  70
 173  46   7  11  86 158 104 155  90  29 117 148 155  90]",[ 65 145 155 117   7 180   4  90]
124,"[  3 114 179  64 134 122   3  64 134 109  62  84  86 109  62   1  62  89
  29   1  62  32  85  22  25  32  85  32  35  22 173  32]",[173  95  62  86  95 158  86  62]
125,"[173 144  86  16  25  29  62   3  11  80  11  32  80  22  11  32  80  22
 144  32  62  22  85  62  32 144  85  22  32  22  11  32]",[ 22  11  32 140  22  37  32 140]
126,"[117 158 139 169  90 127 140  78   7  48  29 178  73  70 178  66  76  73
  70  66  42  37 149 165  57  37 165  37  48  37 165  55]",[ 55 165  37  55  48  55  37  37]
127,"[124  10 124  10 124  10 124  10 124  10 176  10  11  29 119  80 119  29
  11 155 158  46  68  66   8 119 122 105  84  93  12 122]",[ 30 102  30 102  30 102  30 102]
128,"[ 90  70  11  80   7 149  48 165 123 167  80  22 165  55 165  55 175 138
 144   1 175 138 165  55 149 113  80  22 123  42 148  32]",[ 57 115  57  96  57 165 165 115]
129,"[119 149 140  30  70  30  73  30   3  30  73  77  70   1  90  34  70  73
 140  73  70  73  70  73 155   7  73 119 155 119  73   7]",[119  73 119  73   7  73 119 155]
130,"[ 37  88 129  86   1 165 149  37  89  66  37 149 165 129  73  88  59 165
  37  88  73  34  88 149  66  88  73  88  78 165  37  88]",[ 86   1 165 149  37  89  66  37]
131,"[ 73  70 105 155  34 119  73   7  73 119  73 119  73 140  25 119 140  42
  29 149   7  29 149  29  70 149  70  37 129 119 125 122]",[149  88 122  88 122  88 149 119]
132,"[105  93  37 119  37 105 105  37 105  93  37 119  37 105 105  37 105  93
 119 141  80 129  29 119  80  25  22 119  80  86  89  37]",[140  84  86  37   3  89  86  37]
133,"[ 35  18 153 111 101 180  97 158  79  83  18 173 155 140  11   3  29  83
  18  25  86  70 119 111 132 177 111 132 177 120 153  18]",[177 153  18 157  35 111 101 180]
134,"[155  89 140 144 140 122 155 140 144  11   3  89 155 144 173 122  79 144
  52  22 153 122 153 148  22 153 122  52 153  52  89 144]",[167 144 108  89 144 108 167 144]
135,"[ 73  55  70 141 119 125  48  22  29 113  73  55  29 113  25  84  29 113
   7 141   3  12   7 141 127   6 140  42 127   6 173 138]",[  1 173 138 158  34 109  57 109]
136,"[ 97 155 122 173  79 158 164  97 180  20 111  35 157 122  36 177 157 105
  35 111  20 180  97 158  95  79 173 155 105 127  11   3]",[127 155  93 127 155  90 105 155]
137,"[ 86 117  51  86  97  51  86  79 102  25 117 102  97  25 180 102  20  25
  97  51  86 180  51  97  86 117  51  79  86 173 166  86]",[166  86 173 166  86 139 166  73]
138,"[136   9 136   9 168  31  24  31  24   9  24   9  91  46  66 108  91  71
  91  71  18   4   9   4   9   9  31   9  31   9   9  18]",[  9  46   9 108  31  71  31  71]
139,"[155  80 173  37 139 119 158  86  19  19  19  19  19  19  28  28  28  28
  28  28  74 132 139 119 173  37 155  80 173  37 155  80]",[105  11 129 140 105  11 129 140]
140,"[ 86  70  66  29  86  70  76 104  47 177  35 104   2  20 104 180  65 104
 117 158 173  90 104 127  11 104   7  48 104 119  70   9]",[ 48 148 119  70 165  48  96 119]
141,"[ 76 108 145 136   4  17 148  85 104 175  46 170 145 174   4  65 145   9
  65  31  25   3 140  90  31  79  97  31 101 157   4   2]",[ 97  79  90 140   3   9  25   7]
142,"[ 66  11  80  48 165  73  88  66   8  80  22  66   8  80  22  66   8  80
  22  66   8   3 105 127  66  11  80   3 105  86  95  66]",[105  84  66   8 105  84  66   8]
143,"[ 95  95  95  95 141 141 141 141 141 141 141 141 141 141 141 128 127 141
   1   1   1   1   1 140   1   1   1   1  34  57 114  59]",[ 78  78  78  78  78  78  78 139]
144,"[  4   4 132  18 132  18 164  18 179  18 132 122 124  64 164 122 179  64
  18 141 132  18  18  52  22 132  52  52 108  84 108 108]",[ 64 164 148 141 132 148  52 145]
145,"[ 20 165  65  66  20 165  65  66 158  55  65  66 158 165  65  66   2 165
 180  66   2 165 180  66 101  55 180  37 101 165 158  37]",[165 158  37 117 165 155  37  90]
146,"[101  88 117 149 101  88 117 149  97 125 117 105  97  88 173 105 139  88
 173 105 139  88  11 105 140  88  11 105 140  88  48 105]",[ 88  48 105   3  88  86 105  73]
147,"[ 86   8  11 127   8  73  48  80 155 127  73  48 165  11  11  12  86  25
  69   7  11 153  86  25 162 127  79  12   7 127  93  86]",[ 79   7 127  66 173 173  22  25]
148,"[104 122  88 149  88 122  29  52 129 149 119 149 129  73  31 149 129  86
 149 129 119 149 129  86 149 129  29 154 149  37  86  37]",[ 37 149  37  86  37 149  73  88]
149,"[ 76 131  65  48 117 140  65  48  78 140 165  47  37 177  66 130   7 177
  66 130   7  20 131  65  76 131  65  48 117 140  65  48]",[ 31 165  78 178 177  66 130   7]
150,"[ 97  97 122  22  10 122  58 179 124  10 155 122 124 122 125 124 122  83
  83   6 122 107 122  83 178  83 178 153  18 144  30 153]",[ 83 178  83 178 153  18 144  30]
151,"[ 86 180  51  97  86 117  51  79  86 173 166  86 173 166  86 173 166  86
 139 166  73 130 166  73 130 166  73 157 102  25  79 102]",[ 79 102  25 117 124  86 110 124]
152,"[ 51  80 173 105  51 165 173  93 166  95 173 166  95 173 166  95 173 166
  88 117 166  73 117 166  73 117 102  25  97 102  93 117]",[ 93  79 151 105 173 171 151 173]
153,"[113  89   8 122 167  88 129  48 165   7 149  11  80 127  66 155 119  90
  70 155 119  90  70  17  48  17 136 150 175  11 143  85]",[136  46 169 108 107 145 174   4]
154,"[ 52  68  83  71 146 110 145  68  83  71 146 110  52  52  53  62 159  52
  53  62 159  31  52  10 148  40 159  18  52  10 145  40]",[31 92 53 26 31 92 53 26]
