,x_test,future
30,"[ 34 109  34 138   1  34  33  42 138  33   1  33 125  42  33 138   7  33
 113  84 113  91   8  89 113 167   8  89  93  88 167  33]",[105 149  37  66  70   7  91   3]
31,"[161  70  29 140 114 141   7 129 158  80 114  54 172 114 142   1 141 142
  89 140   1   1  32  56   1  89  37 140   1  53  64   6]",[ 11 125   3  88  97  64 134   6]
32,"[136 174  25 118  69 136 174 131 123 123 106 123  78 137 137 137   4   7
 137 150  70 167  37  89 165  55 165  55  70 167  70 167]",[ 89 105  84 105  84  70 167  70]
33,"[140  55  89  48  88  29 113   8  88   8  88 149   7  89  48  95  29 149
 140  55  89  88 141 113  88 140 139  84  89   3  88  29]",[122  88  22   3  88  29 129   7]
34,"[ 25 144  83 117   3  83  83  11  95  86   3  80 127 155  86  48 119 173
   3  51  66  86  48   3  66  86  11 127  84  66  86  95]",[127  66  86  95 127  11   8  66]
35,"[129  70  29 149   7  25  89  70  25 167   3  90  22   3  90 105  79 155
 113  79 155 149 139  48  22  90  48  88 155  48  89 139]",[167  90  70  55 140  37  88  48]
36,"[ 42   7  55  70  42 149  32  70  42   7  55  70  42 149  32  70  42   7
  55  70  42 165  32  70  42  48  55  70  42 149 138  66]",[ 48 113  66  12 149 138  66  12]
37,"[ 81  49   6  12  55  84  22   8  97 167 117  79  20 136 180 136  97 117
 143  79 173  90 165 127  11   3 174  48  25 127 136  11]",[49  6 12 55 84 22  8 97]
38,"[ 85 166  84  43  27 171 156   0  27 127  11   8   3  48 171 122 164  43
 110  23 164   0 156 167 156 116  36 116  11  93 131  43]",[ 23 163 145  95 163  27  23 110]
39,"[ 51  86 101  51  86  20  51  86  97  51  86 117  51  86  97  51  86  79
 102  25 117 102  97  25 180 102  20  25  97  51  86 180]",[ 97  86 117  51  79  86 173 166]
40,"[ 29 123   7  90 158 165  55 149 113  80  22  66   8  70 167  73  88  29
 129  48 165   7 149  11  80 127  66  90  70 173  86  79]",[117  48  97   3  79  25  90  70]
41,"[ 30 102  30 102  30 102  30 102  30 102 124 102 140   3  25 119  25   3
 140 155  79 104 148  10  25  93  29 129 119 122  80  22]",[141  74 141  55  84  74 113  74]
42,"[ 22 122  10 122  58 179 124  10 119 122 124 122 125 124 122  83  83 122
   6 107 122  83 178  83 178 153  18 144  30 153 132 155]",[132 141 122 124 158 122  97  84]
43,"[ 70  37  70 146  88  70  37  70 146  88  70  37  70  63  88  66 149  66
  19  88  37 105  37  33  88  66 149  66  88  70  37  70]",[ 93  70  37  70 142 129  70  37]
44,"[ 25  18   3 144 155  18 179  18   3 108  90 178  97 108  83 108  90  52
 155  58 155  52  98 104 155  18   3   3 179   3 168  31]",[ 31 168  31 168  31 168  31 168]
45,"[ 37 105  85  37 105  37 129 141  95   6  37 129  37  88  55  37  88  37
  95  12  37  95  37 167  55 116  89  95  26 124 124 140]",[ 11  11  83 158 153  79 173 153]
46,"[ 84   8 105 102 144 105 105 105 105 105  51  84  95 171 122  51  84  95
   8 175  84  22  95  13  84   8  95 143  84 122  95  13]",[ 8 95 27 84 95 49  6 40]
47,"[  7 156  48   7  41 140 127 156  90  48  91   7  54  48   7  91  48 139
  54 127 140  85 127  90 156 139  79  41 117  65 156 117]",[ 91  65  54 117  65  91 117  20]
48,"[ 25  86  89  25  26   3  25  89   3  70  84  25  86 144  29  11  16 173
 158  62  97 180 180 101 180  95  92  38 180  95 101 180]",[180  95  65  35  38  65  35  95]
49,"[ 25 180 102  20  25  97  51  86 180  51  97  86 117  51  79  86 173 166
  86 173 166  86 173 166  86 139 166  73 130 166  73 130]",[ 73 157 102  25  79 102  25  79]
50,"[122 132 141 132 122 122 132 132 122 164 122 164 122 164  10 164 124 164
  64 132 122  58 122  30 122 132 122 132 122 132 122 132]",[124 141 132 122 164  22 122 132]
51,"[120 157  49 120 180  49 120  47  49 180 180  22 120  47  81 180 180  81
 120  47  81 180  35  81 180  81 120 180  49 120  36  16]",[180 171  95 120  36  49 180 180]
52,"[158 132  97 180 132 101 111 153 119  35 157 153 119 177  36 120 116 119
 120  36 177 157 116 119  35 111 101 180  97 158 112  97]",[112 101 111 176 129 101  65 176]
53,"[ 55 126 126 126 162  93  46  91 127 162  69 127  54 126 127  85  78  48
  90   8  78  78  78  25 127   8  54  54 126  66   8  91]",[ 54  66   3 138  17  17  17 105]
54,"[140  68  89 105  88 105 139  68  89 105  32  22  46 122  22  52 129  22
  71 165  22 145   1  89  31  95  89 104 129  89  52 149]",[ 71 125  89 105  88  89  88  89]
55,"[105 129  88  95 122  64  95  88 129  51 149 105 129  88  95 122  64  95
  88 129  51 149 105 129  88  95 122  64  95   6  88 125]",[141 105  84  80  22  66   8 119]
56,"[159 157  35  38 159 159 159 159 159 159 159  79 173  38 159 159 159 159
  14  92  35  38 159 159 159 159 178 171 159  11  95  11]",[140  11  95  92  38  11  95 140]
57,"[ 79 176 158 111  30 155  79 102 155 155 102 158  79 176 158 139  70  73
   3  37  73  73  37   7   3 119   7   7  29  90 155  70]",[ 90  70 117 158 136 117   2 131]
58,"[  6  42 141  46  46   4   4  18  18   4   4 136  46 151 104 150 148 118
   9 174   4 126 145 174   4 126 145 169 108 143  46 169]",[126 145 174   4 118   9 150 148]
59,"[102  25 117 102  97  25 180 102  20  25  97  51  86 180  51  97  86 117
  51  79  86 173 166  86 173 166  86 173 166  86 139 166]",[130 166  73 130 166  73 157 102]
60,"[ 95  25  93  48 165   7 149  11  80 127  66 155 122  25 119 127 105  86
  66  75  68  75  68  75  68  75  68 100   3  68  17  86]",[ 25  93  48 165   3 105  11  80]
61,"[ 70 167  79  25  90  70 147 113   7 149 117 119  79  70 139  73  90  25
 147 113   7 149 117 119  79  70 139  73  90  25 147 113]",[149  34  65 113  79  70  90  25]
62,"[ 37 129  68 125  88 105  68  70  31 105  88 104 113  88 149 119 149  88
 104  73 135   7 104 176 104  73   9   7  98 173   9  62]",[  7  18   3   3  18 135  71   3]
63,"[122  66   8  13   3   9 105  86  29  18 105 119  73 105 119  70  52 129
 149   7 149  70 119  71 122  88 149  88 122  37  42  89]",[105  88  89  73  64  88 149 119]
64,"[ 28 126  28 126  28 126  73 156   9  73  70 165  71  73  70  66 150  78
 150  78 150  78  48   7  70  31 140   7  48 169  31 140]",[ 63  33  63  33  63 151   4 151]
65,"[ 27  35  84  51  27 177  84 130  35  72 130 111  84 180  72 117  84 139
  72  97  84  17  27  20  84  13  27  35  84  51  27 177]",[130  35  72 130 111  84 180  72]
66,"[122  93 105  93 122  93 122  93 105  93 122 119   1 122  93 105  93 122
  93 122  93 105  42  93  64 122   1 119  34 122 129 149]",[122 129 122 129 149 129 122 119]
67,"[127 145  90 127 104  11   7   9  11   7  52  48  29 104  48  29  42  73
  70 141  73  29  42  73  70 141  73  29  42  73  70 141]",[ 29  42  73  70 141  73  29  42]
68,"[ 97 158 139  90 155 140   7 140   3   7 149 155 119 139  73  90  70 155
 119 140  37   7 149   3 105  29 129  73  88  70 167 119]",[ 37  89 149 113  63  18 147  18]
69,"[  6  66  27  13  66  11   3   6  48  80  25  48  95  80  51  84 105  17
 105  28   9  66  28  54  28  66  87  12 105  87  69 105]",[ 12 105 171 126  69  69 105  85]
70,"[149   7  34 149  37  25 149   7   8  91  63 140  89  60 146 127 113  91
  63 140 125  37 146  73   3  37 127  84  66  86   3  66]",[ 64 119  67  73   3 119  86  84]
71,"[132  11 132 180 173   1  97 117  97  11 134 134   3 134  48 134 134   3
 134  97 155  32 158  79 158 140 132 132  11 132   3 132]",[ 29 132 179   1  56  26  56 124]
72,"[ 95  95  95  95 143  84 122  13   8 143 122   6  95 143 122   6  95 143
 122   6  95  13   6   8 175  22  68  86  84   8  95 179]",[ 93  17   8  95  17   8 141  95]
73,"[ 34 149  37  25 149   7   8  91  63 140  89  60 146 127 113  91  63 140
 125  37 146  73   3  37 139 125  73  19   3 140  73 127]",[ 66  63  73   7  66   7 140  12]
74,"[  7 140  42 127 178  46  55 178  93  55  93  85 144 156 175  85 175  85
 144 131  78  55  78  93  55  93  85 144 156 175  85 175]",[144 131  78 156  55  78  93  55]
75,"[ 27 173 117  97 173  27 127  11  64 139  79 117  97  79  11  11  64 180
  65 136  93  97 117 165  11   3  79  48   6 173  11 107]",[155   3  51 127  48 124  11   3]
76,"[151 173 179 124 124 124  62  62  62 124 170  93  93  93  43  93  93   7
 174 179  93  93  43 174  93  93 124 170 108  93  93  93]",[ 93  93  93  93 162  93  93  93]
77,"[ 95  13   6   8 175  22  68  86  84   8  95 179 122  93  17   8  95  17
   8 141  95  69  43  93  93  93  93  93 174 179 162  69]",[ 22  12  93  69  95  12  93 174]
78,"[ 22 144  32  62  22  85  62  32 144  85  22  32  22  11  32  80  22  11
  32 140   1  37  89 140   1 153  32 144  62  22 144  62]",[ 85  86   6 173  79 158  97 180]
79,"[122 111 180 158 158 129 180 158 155 158  93 101  89  95  35 101 158 158
  37 101 158 173 158  80 111 122 105 157 111  97  97 119]",[ 97  79  97  37 111  80 129 177]
80,"[ 63 140  89  60 146 127 113  91  63 140 125  37 146  73   3  37 127  84
  66  86   3  66 155  64 119  67  73   3 119  86  84 173]",[139  86  84 173 155 122 119 146]
81,"[153 148 143 174 143 148 174 136  21 148  62  26  62  68  26  62  26  68
  43  26  43  68  17  69  17 104 143 153 143 148 153 143]",[148 143 153 143 148 153 143 153]
82,"[180  97 158 153  79 173 155 127  11   3  84 173 155 127  11   3  29  25
  86 119 122  86  25  29 164   3  11 127 155 173  79 122]",[158  79 105 173 155 127  11   3]
83,"[ 25  68  95  86  66  86 164  95  25 119  25  27  95  86  66  86 164  95
  25 119  25  27  95  86  66  86  49  95  86 119  86  49]",[117 173  11 173 117 180  97  27]
84,"[ 25  93  11 155 119  73  88  11   3   6  66  86  95   3  48  80  86  95
  48 127  84  66  86  95 127 127  66  86  95 127  11   8]",[86 95  3  3 66 86 95 11]
85,"[ 52  89 129  37  86  37 129  52  89 129  37  52  86  37 129  52  22 129
 119  73 119  68 129  52  22 129 119  73 119 129 145  89]",[ 37  86  37 129  52  84  37 108]
86,"[ 88  71 113 122  88 108  84  89 122  52 141  89 122  68  12  89 122  31
  12  84 122 104 141 113 122  68  89 167 105  52 108 122]",[ 37 108 122 105  37  52 122 105]
87,"[141 134  84 134 134 134 134 134   3 143 161  32  32  29  32   6   6  19
 125  19  19  19  19  19  19  40  40  19  40  19  40  19]",[40 19 40 19 40 19 40 40]
88,"[156  64  48 122 156 156 138  48   8 156 156   1  48  89 156  54 138 125
  55   8  88   9 165  18   8  93 105  31 165 105  93   9]",[ 88 165 129 165   9  88 148   8]
89,"[  1  70  42  25  12  70  42  25  12  70  42  37   1  70  42  29 141  70
  42  29 141  70  42  37   1  70  42  48  55  70  42  48]",[70 42 37  1 70 42 48 55]
90,"[ 27 180  67  67 180  67  67 180  67  67  97  67 117  67  97  27  27  27
  27  27  27  27  27 171  27 171 171  27 171 171  27 171]",[ 27 171 171  27 171 171  27 171]
91,"[ 29  86  29 140  29   6 141 140 173 158 141 173 140  29 140 173 127  32
 141 173 158 155 141 139 158 155 139 117  11 114 141 139]",[ 11 141 173 158  11 155 139  11]
92,"[ 66   8 149  93  25 113  66   8 149  93  28  28 170 170 160 160 170 170
 170 170  28  28  28  28 127  25 113  12  66   8   7  93]",[113  66   8   7  93  73  55  66]
93,"[ 64  32  87  12  93 172  93 172  93 172 118 173  52  90 127 104  90 128
   9 127 128 145 127 115 115 175 126 175 126 175 126 117]",[148 158 139  18 158  71 139  46]
94,"[ 79  97  37 111  80 129 177 111 180 180 119 111 180 158 180  80 111 105
 122 157 111  97  97 119 111  97  79  97  37 111 129  80]",[111 180 180 119 111 180 158 180]
95,"[ 96  96 126  28   9 162   4  96  96 126  28   9 162  12  55  12  55 162
 113  22 162 113  22 162   8 122   8 122 162  95  93 162]",[ 93 174  52 143 143  52 143 143]
96,"[108 122  71   8 165  80 165  71   8 165  80 165 108   8 165  71  80 165
   4   8 165  71  80 165 108  93 105  93   8  84  93   8]",[ 12  25   3 127  79 108   3 127]
97,"[ 31 134  31 134 145 134 145  26  68 134  68 147  18  65 111 130   2 111
 101  65  97 158 139  90 155 140   7 140   3   7 149 155]",[139  73  90  70 155 119 140  37]
98,"[149  88  48  29 167 149  70  89  73 122  29 167  70  29 129  90  29  95
 155  29  37 140  48  88  37  48 125 140  29 141   7  73]",[ 48  70 141 129  70  89  29  37]
99,"[ 62  26  62  26  26  27 136  27  26  27  26 179  26  25 128   3 155  79
  97 111 100  81 179  81 119  81 179 175 179  48 116  11]",[ 16 117 180  16  35  71  16 145]
100,"[ 23  91  23  91  23  91  23  91  23 135  15 135  15 135  15 135  15 135
  68 135  68 135  68 135  68 178 156 178 156 178 156 178]",[178 156  26  52  26  52  26  52]
101,"[173  37 117 165 173  37 139  55 127  66 139 165 127  66  20 165  65  66
  20 165  65  66 158  55  65  66 158 165  65  66   2 165]",[ 66   2 165 180  66 101  55 180]
102,"[ 88 117 166  73 117 166  73 117 102  25  97 102  93 117 102  93  79 151
 105 173 171 151 173  55 151  84 173 179 122  79   0 179]",[138 179  64  97 179   3 159 179]
103,"[ 86 140  90  73 140 155  86 140  90  86 140 158  86  11 173  93  11 155
  37  70  11 158 119  11  83  70 140  90 129 140 155  86]",[140  90 119 140 153  29  11 173]
104,"[173  46  90 127   9  90 173 165  79 117  95  65 101   8  20  18  95  93
   9 165 105  18 149  80 145 149  80   9 105  80  68  66]",[148  70  86   9  70  86  18  25]
105,"[ 78 156  78 115 126  66   8  66   8  66   8  86  48 143  29   3  48 175
 175  70  11  22 113  25   8  22  85  22  85  22  25   3]",[ 48  11   8   3 144   8 144  89]
106,"[  4   4 136   4 169   9 150 148  69 104 143  46 169  52 143  46 169 108
 126 145  41   4 126 145 169  52 143  46 151 104 150 148]",[  9 150 148 165  55 175 126 144]
107,"[ 86  89  37 149 105 125   3  29  73  89  86 119  37 149 105 149 141  66
  86   7   8  86  66  86  89  37 149  37 125  73   3 140]",[  3  73  86  73  70 119 113  88]
108,"[ 28  59  55 165 100  85 100  55  24  24 165  24  28  85 137  28   8  88
  28 126  55  24  24  93  24  28  78 137  28   8  88  28]",[ 55  24  24  93  24  28  78 137]
109,"[111  65 158 158 112  65 158 155 155 158 155   7   7 112 155   7  29  29
   7  29 119 144 102  65 141 111  65 158 158 112  65 158]",[155 158 155   7   7 112 155   7]
110,"[ 37  86  37 129 167   1 129  37  70 141  37 129 167 129  37 129  42 141
  37  70  29 141  70  37 129  37  70  66  32 141  86  29]",[141  73  29  66  86  29 119 114]
111,"[ 84  95 105  95  66 115  55  95 165  95  66 137  55 167 165 167  37 119
  88  48 119  11  80 155 165 117  95 180 122 111  22  47]",[120  12 125 141 122 129 122  80]
112,"[ 35  47  36  35  27  20 101  42 157  75  36 120  36  75 101 180  95  80
 105  20 111 165   2  93  35 165 157 111 124 180  97  51]",[127   3  48   3  11 140 127  84]
113,"[158 180 158 155 155 132 158 155  11  11 155  11  29 144  30 111 141 177
 111 180 180 132 111 180 158 158 180 158 155 155 132 158]",[ 11  11 155  11  29 144  30  11]
114,"[ 29  29  11  29 119  29 140  89 173 140  29  29  56 140  29  86  29 155
  64  79 155   3   3  58 155   3  25   3 155 141 158 155]",[ 11 132 155  11  29  11 180 141]
115,"[ 12 125  12   5  42   5  42 125   5  12  55 100 113  89  59  55 141  55
 125   6 125  28 138  28 138  42  28 125  12  33  55 113]",[ 12 125  12  42  64  42 100   1]
116,"[119 173  66   3 173 127 105  86 173  80 155  66  86 173  93  11 165  86
 173 105 127  86  97 173  66   3 180 105  86 173 119  11]",[119 173 119  48  97 105 119 173]
117,"[104  96 150  96 150  96 150  96 150  96 150  96 150  96 150  96 150  96
 150 170  69 170  69 170  69 170  69 170  69 170  69 170]",[170  69  81 174  81 174  81 174]
118,"[  6 128  95 133   8 133   8 121 122 174  22 174  22  69 113 170  12 170
  12 179  22 121  12 121  12  43   8 108  12 108  12 122]",[ 12 108  12 108 122  62  31  62]
119,"[170 162 170 162  25 113  12  66   8 149  93  25 113  66   8 149  93  73
  55  66   8 165  88  48  22  12  66   8  80 165  48  22]",[  8  80 165  25 113  66   8 149]
120,"[ 70  73  88  25  73  70  66  37   7  34 149  33  66  73 149   7  42 149
 168  70  25 149   7  34 149  91  66  73 149  37   3 125]",[70 73 88 25 73 70 66 37]
121,"[ 95  95  93 124  27  51  50 151 152  69 174 121 102  10  53 142 137 126
 115  51 173  14 139 179 179 164 179 144 102   3  25 119]",[175  66   0  80  37  51  51  27]
122,"[ 78 156  55  78  93  55  93  78 156  78 156  78 165  78  25 165  25 156
  48  91  91 165 150  37  91  66   8  91 138   8  91 165]",[ 37  91 149  76  88 154 165  76]
123,"[ 31 134  31  42 148 148   6  18  46  45  68  84 134  49 134  26 140 134
 140  42  75  11  11   6 135  49 175  45   3  86   6 134]",[134 140  26 173 134  26 125 146]
124,"[123 169 104 139 123 169  70  78  78 167 169 129  78 165  55  78  57  55
  78 167 169 129  78  88  54  89  53 167  54   8 138  54]",[138 125  73 138   1  76  34  76]
125,"[117  79 139  90  28 127 140 127 140   7  48  25  73  70  66  73  70  90
 155  90  79 139  90  65 117  79 139  90 155  90 127 140]",[ 48  25  73  70  25  73 139 173]
126,"[155 153  52 122  29   3  29  25  26   3  29 140  26  26  26  25  26   3
  29 140  26  26  26 127 173 155  29 135  10 127 173 155]",[135  10  29  89 129 139 173 165]
127,"[ 48  66  35  52 101  20  76 173  35 101  20 173  35 101  20 173 158 123
  65  20  35   4  22 165 167 165   9   8 165  95 148 165]",[167  80 165  80 104 167  66 129]
128,"[ 89 129  37 140 165  70 140  90 167  55 167 165 127  88  48 127 165 139
  66 117  73 139  66 127 165  48  88  29 129  90  70 129]",[ 73 129 155 119 129  11  70 129]
129,"[ 73   7  73 119 155   7  73   7 155 139  71 113 122  88  71 113 122  88
 108  84  89 122  52 141  89 122  68  12  89 122  31  12]",[122 104 141 113 122  68  89 167]
130,"[101  89  83  89  98 146  37  98 146  89  62 146  37 146  89 146  37 128
  89 128  37 128  89 128  37 128  89 128  37 153  22 144]",[ 80 144  62  22  85  35  95  86]
131,"[ 48  86 158   9  70  73  29  73  29  48 117  86  76  20 117 158  70  76
 117  65 117  65 180 117   9  86  48  86 158   9  70  73]",[ 73  29  48 117  76  86  20 117]
132,"[  9  28   9 131 126  91  91  54  54 126  54 126  54 126  54 126 146  83
 146  83 146  83 146  83 146  83 146  83  54 126 156 150]",[ 54  91 104 100  46  28  71  46]
133,"[ 20  86  29   2 140 173  35  86  29   2  11 173  86  29  22 127 173  86
  25 127 173  20  86  25 180 127 173  65  86  25 117 127]",[86 25 95 11 90 70 25  8]
134,"[142  53 142  53 142  53  21  53  74 153  40  10 142  53 142 142 142 142
 142 142 142 142 178 150  39  21 131 169  78  54  59 154]",[154  59 154  59 154   4 133   9]
135,"[166  86 139 166  73 130 166  73 130 166  73 157 102  25  79 102  25  79
 102  25 117 124  86 110 124 157  86  47 124  86  36  51]",[171  51 117  86  97  51  86  51]
136,"[ 76  37  66 167  70   8  73  89  29 113  48  55   7 140 127  90 139  79
 158 117  65 101  20   2 130   2  20 101  65 117  65 117]",[139  90 127  66  73  88  90  70]
137,"[ 69  76  69  76  69  85  23  69  76  69  76  69  76  69  76  69  76 126
  91  23 126  23 126  76  69 126  91 126  91  76  69  76]",[ 76  69 126  91  69 131  28   9]
138,"[119  80 119  25  64 119 105 119  25  12  66 105  66  86  84  66 105  66
  86 109  66 105  66  86 138  66 165  66  86   6  80 165]",[ 70  55  80 165  80  70  57  80]
139,"[ 48  86 158   9  70  73  29  73  29  48  29  48   7  48   7  11   7  11
 127  90  70  73  29  48  73   7  29  11  48   7  11 127]",[70 73 29 48 73  7 29 11]
140,"[138  91 126 139 138  91 126 139  57 154 150  79  57  41 150  41 150  41
 150  41  79 150  41 150  79  57  41 150  79  57  41 150]",[114  78 142 158 142  53 142  53]
141,"[105  29   3  11 127 155 173 141 180  97 158 153  79 173 155 127  11   3
  84 173 155 127 155 173  79 158  97 155 122 173  79 158]",[ 97 180  20 111  35 157 122  36]
142,"[105  80  70 105 174  80  70   3  80  70   3  11  80  70   3  11  80  70
   3  11  80 174  70   3  11  80 174  70  38  11 174 174]",[ 29 129  22   6   3  25  29  86]
143,"[108  81 108  81 108 108 108 108  93 104  25  66   9 149  66 108 127   7
 145  25 136   4  70  17 148  86  85 104  25 175  46  48]",[  6   7  95 170   6   7  95 174]
144,"[167 140  48  90  70 140  48  90  37 117  90  90   7 158  29  90   7 158
  70  65 158  90 140 117   7  90 140 117  48 101 117 117]",[180 117 155 180 139 111 180 155]
145,"[  7  10  65 158 155   7  29 119 113 149 129 149 122 119  29   7 141  29
 119 155 113   7  29 158   6 127   7 146 125  90 140 155]",[111  65 139 155   7  73  64 119]
146,"[ 76 140 127   7 167 140  78  48 140  70 167   7  98  29 167   7  98  29
 167   7 149  66   8   7 149  93  12  76  76  93  12  66]",[  7 149  66   8   7 149  93  12]
147,"[ 25   8  27  86  27 110  22  48   3   7  11 140 127 173   6  49 155  49
 127  84  90  27 173 117  97 173  27 127  11  64 139  79]",[ 97  79  11  11  64 180  65 136]
148,"[ 90  80  86 158  12  93  79  66 173  93  90 149 127  11  70  22  93  70
 127  93  90  80 173   3  90  22  80 101  25  80 180  70]",[ 97  95  80  86  80 117  48  25]
149,"[119 129 149 119 113  29  29  55  37  29  89 140  73 113 119  73  55 140
  29 141  70  29 113 140  29 167  70  29 141   7  25  42]",[ 25 167   3 122  90  89   3  90]
150,"[ 88 146 105 140 119 113 155  98 129 155 119 122 155  98 129 155  29  22
 129 158 135  80 158 103 119 129 158 124  73 158  26  37]",[158 118  29 101 146   3 101  62]
151,"[164 105  25 119 105  93 122 164  84 122  93 144 122  93 105  27 105   3
  86  66 105  95  27   8  84   6  17  84   8  95  35  17]",[ 36 157 120 120  35  17  36  36]
152,"[174  81 174  81 174  81 174  81 174  81 174  22 167  93  80  70  25 104
 148 148 108 152 108 152 170 152 108 152 108 152 108 152]",[152 108 152 108 152 108  93 149]
153,"[ 89 105  89   7 125  89   3  88  89   7 125 122 149 122 155 125 122 149
 122  29 125  89  95  89   7 125  89 129  89   3 125  89]",[ 89  71 125  89 105  89 125  89]
154,"[129 149  29  90 129 149  70 155  88 149 119 140  88 105  37   7 113 122
 149 122  88 149   8  95 149   7 122  88 149 155  71 113]",[ 88  71 113 122  88 108  84  89]
